Year,Month,Day,MJD,OAM_ms
1979,2,10,43914,-0.05472735
1979,2,11,43915,-0.07644390
1979,2,12,43916,-0.05342408
1979,2,13,43917,-0.03463915
1979,2,14,43918,-0.04866862
1979,2,15,43919,-0.04695040
1979,2,16,43920,-0.06820151
1979,2,17,43921,-0.08405115
1979,2,18,43922,-0.09368140
1979,2,19,43923,-0.08133211
1979,2,20,43924,-0.10338428
1979,2,21,43925,-0.10293038
1979,2,22,43926,-0.07442261
1979,2,23,43927,-0.04570537
1979,2,24,43928,-0.00598816
1979,2,25,43929,-0.00460730
1979,2,26,43930,-0.00246002
1979,2,27,43931,-0.02430736
1979,2,28,43932,-0.05901827
1979,3,1,43933,-0.07842618
1979,3,2,43934,-0.04598818
1979,3,3,43935,-0.01016783
1979,3,4,43936,-0.01281100
1979,3,5,43937,-0.00299644
1979,3,6,43938,0.01092581
1979,3,7,43939,-0.00744759
1979,3,8,43940,-0.01168078
1979,3,9,43941,-0.04949592
1979,3,10,43942,-0.02293880
1979,3,11,43943,-0.00802779
1979,3,12,43944,0.01579275
1979,3,13,43945,-0.00190319
1979,3,14,43946,-0.01875087
1979,3,15,43947,-0.02216880
1979,3,16,43948,0.01535680
1979,3,17,43949,0.00466612
1979,3,18,43950,0.00150971
1979,3,19,43951,0.00036506
1979,3,20,43952,0.04608952
1979,3,21,43953,0.03438459
1979,3,22,43954,-0.01282666
1979,3,23,43955,-0.04464212
1979,3,24,43956,-0.04398911
1979,3,25,43957,-0.03139275
1979,3,26,43958,0.01452539
1979,3,27,43959,0.06646818
1979,3,28,43960,0.01766375
1979,3,29,43961,-0.00343817
1979,3,30,43962,0.00477394
1979,3,31,43963,-0.02815539
1979,4,1,43964,-0.00002489
1979,4,2,43965,-0.03565058
1979,4,3,43966,-0.03942768
1979,4,4,43967,0.01062677
1979,4,5,43968,-0.01489888
1979,4,6,43969,-0.02207116
1979,4,7,43970,-0.02266644
1979,4,8,43971,-0.01576490
1979,4,9,43972,-0.02592257
1979,4,10,43973,-0.02452747
